epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,40031,0.853,0.82422,0.97791,0.85119,0.7196,0.80709,0.64952,0.78905,0.70617,0.9567,0.0083764,0.0083764,0.0083764
84,40526,0.8528,0.8017,0.97912,0.88263,0.71476,0.80764,0.65073,0.78582,0.68914,0.95404,0.0083566,0.0083566,0.0083566
85,40996.6,0.84492,0.80362,0.97309,0.87608,0.71866,0.80612,0.6508,0.78522,0.6854,0.95599,0.0083368,0.0083368,0.0083368
86,41474.9,0.84986,0.8061,0.97503,0.87536,0.71558,0.79891,0.64293,0.7799,0.68109,0.95546,0.008317,0.008317,0.008317
87,41968,0.84703,0.78654,0.97649,0.8935,0.71777,0.8003,0.64435,0.77642,0.67021,0.9528,0.0082972,0.0082972,0.0082972
88,42476.8,0.85177,0.79807,0.97979,0.8398,0.75378,0.82345,0.6685,0.77526,0.67648,0.95179,0.0082774,0.0082774,0.0082774
89,43011.4,0.84232,0.77536,0.97527,0.88809,0.70707,0.8249,0.66078,0.7718,0.66265,0.95059,0.0082576,0.0082576,0.0082576
90,43526.8,0.84197,0.77908,0.97043,0.85579,0.72491,0.79602,0.64548,0.7767,0.666,0.95232,0.0082378,0.0082378,0.0082378
91,44049.3,0.83967,0.78667,0.97537,0.88059,0.70689,0.79123,0.64754,0.77468,0.66756,0.9519,0.008218,0.008218,0.008218
92,44600.7,0.83737,0.77242,0.97601,0.89471,0.7184,0.79785,0.64574,0.77539,0.66564,0.95325,0.0081982,0.0081982,0.0081982
93,45067.6,0.83813,0.76742,0.9738,0.89255,0.7096,0.80779,0.65014,0.77436,0.66501,0.95444,0.0081784,0.0081784,0.0081784
94,45520.9,0.83026,0.76619,0.96593,0.86279,0.72645,0.82428,0.66723,0.7709,0.66088,0.95242,0.0081586,0.0081586,0.0081586
95,46021.6,0.83796,0.76857,0.97494,0.89738,0.70588,0.79592,0.64388,0.76843,0.66501,0.95223,0.0081388,0.0081388,0.0081388
96,46538.9,0.83216,0.76155,0.97133,0.88986,0.71541,0.79338,0.64321,0.7669,0.65709,0.95266,0.008119,0.008119,0.008119
97,47014.5,0.82588,0.75297,0.97383,0.88778,0.7207,0.79838,0.65065,0.76447,0.65633,0.95015,0.0080992,0.0080992,0.0080992
98,47520.9,0.82511,0.74646,0.97341,0.89265,0.72477,0.82607,0.66635,0.76497,0.64602,0.94721,0.0080794,0.0080794,0.0080794
99,48019.4,0.83801,0.75801,0.97583,0.90297,0.7184,0.81144,0.65356,0.76503,0.62861,0.94765,0.0080596,0.0080596,0.0080596
100,48513.7,0.82953,0.75908,0.97184,0.89897,0.71009,0.81196,0.65435,0.75999,0.63551,0.94579,0.0080398,0.0080398,0.0080398
101,49002.9,0.83503,0.75371,0.97157,0.8846,0.72813,0.82592,0.67499,0.75836,0.64389,0.94554,0.00802,0.00802,0.00802
102,49492.2,0.82844,0.74317,0.97557,0.90544,0.70436,0.81718,0.66309,0.75755,0.62985,0.94451,0.0080002,0.0080002,0.0080002
103,49969.9,0.83197,0.73384,0.97158,0.89545,0.72361,0.80581,0.65588,0.75953,0.63092,0.94464,0.0079804,0.0079804,0.0079804
104,50458.7,0.82394,0.72658,0.96744,0.88715,0.73274,0.81751,0.66325,0.75337,0.63008,0.9449,0.0079606,0.0079606,0.0079606
105,50950.2,0.81639,0.72352,0.97181,0.88782,0.72352,0.8165,0.66337,0.75537,0.62808,0.94595,0.0079408,0.0079408,0.0079408
106,51441.9,0.83165,0.73469,0.9696,0.89491,0.72524,0.81138,0.65848,0.75744,0.63016,0.94536,0.007921,0.007921,0.007921
107,51935.5,0.8243,0.73789,0.9681,0.90783,0.72158,0.8221,0.66747,0.75584,0.62679,0.94391,0.0079012,0.0079012,0.0079012
108,52423.4,0.82779,0.74197,0.97671,0.8983,0.7198,0.82769,0.67092,0.75557,0.63305,0.94369,0.0078814,0.0078814,0.0078814
109,52882,0.82841,0.72469,0.96235,0.92944,0.71646,0.82629,0.66874,0.75069,0.62962,0.94271,0.0078616,0.0078616,0.0078616
110,53360.5,0.82221,0.73102,0.96365,0.9289,0.72102,0.81855,0.66353,0.75357,0.6239,0.94239,0.0078418,0.0078418,0.0078418
111,53824,0.82235,0.72183,0.96717,0.89097,0.73118,0.82913,0.67013,0.75381,0.61718,0.9428,0.007822,0.007822,0.007822
112,54322.3,0.81148,0.68969,0.96332,0.88769,0.72666,0.82825,0.66812,0.75368,0.61899,0.94256,0.0078022,0.0078022,0.0078022
113,54816.3,0.81506,0.70201,0.96966,0.90388,0.72313,0.8232,0.66382,0.75543,0.61962,0.94257,0.0077824,0.0077824,0.0077824
114,55312.1,0.81608,0.71185,0.96291,0.91223,0.71296,0.82509,0.6672,0.75549,0.62876,0.94182,0.0077626,0.0077626,0.0077626
